Date,Close,High,Low,Open,Volume,Daily_Return_Pct,Log_Return,Price_Range,Body_Size,Upper_Shadow,Lower_Shadow,MA_7,MA_14,MA_21,MA_50,MA_100,MA_200,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,RSI_14,BB_Mid,BB_Std,BB_Upper,BB_Lower,BB_Width,Volume_MA_20,Volume_Change_Pct,Volatility_30d,Year,Month,Quarter,Day_of_Week,Week_Number,Cumulative_Max,Drawdown_Pct
2018-04-24,708.16,708.88,643.4,643.4,3581860096,10.2109,0.097225,65.48,64.76,0.72,0.0,612.34,553.56,499.16,535.15,740.36,,580.37,540.81,39.56,10.366,29.194,76.05,505.1,98.66,702.42,307.78,394.64,1888549942.0,50.07,5.9896,2018,4,2,Tuesday,17,1396.42,-49.2875
2018-04-25,615.42,707.06,600.21,707.06,4216140032,-13.0959,-0.140365,106.85,91.64,0.0,15.21,625.29,566.76,510.35,531.12,733.59,,585.76,546.34,39.42,16.1768,23.2432,59.02,516.71,97.21,711.13,322.29,388.84,2038822941.0,17.71,6.387,2018,4,2,Wednesday,17,1396.42,-55.9287
2018-04-26,662.81,663.18,604.01,618.08,2984009984,7.7004,0.074183,59.17,44.73,0.37,14.07,638.85,578.9,523.66,529.32,729.68,,597.62,554.97,42.65,21.4715,21.1785,63.51,531.33,96.02,723.37,339.29,384.08,2139668141.0,-29.22,6.2627,2018,4,2,Thursday,17,1396.42,-52.5351
2018-04-27,647.03,684.87,647.03,662.11,2598129920,-2.3808,-0.024096,37.84,15.08,22.76,0.0,643.32,589.92,536.84,528.16,726.01,,605.22,561.79,43.43,25.8632,17.5668,61.11,544.42,92.86,730.14,358.7,371.44,2222000886.0,-12.93,6.2885,2018,4,2,Friday,17,1396.42,-53.6651
2018-04-28,683.68,691.44,644.65,644.65,2496659968,5.6643,0.055097,46.79,39.03,7.76,0.0,654.5,602.93,551.05,527.26,722.48,,617.29,570.82,46.47,29.9845,16.4855,64.47,558.58,91.34,741.26,375.9,365.36,2299409485.0,-3.91,5.6593,2018,4,2,Saturday,17,1396.42,-51.0405
2018-04-29,688.88,697.76,670.51,683.91,2740559872,0.7606,0.007577,27.25,4.97,8.88,13.4,664.08,614.16,564.78,527.3,718.98,,628.3,579.56,48.74,33.7356,15.0044,64.94,573.09,87.56,748.21,397.97,350.24,2362517978.0,9.77,5.6643,2018,4,2,Sunday,17,1396.42,-50.6681
2018-04-30,669.92,694.44,666.12,689.76,2853100032,-2.7523,-0.027909,28.32,19.84,4.68,3.8,667.99,625.5,577.7,526.23,714.13,,634.71,586.25,48.46,36.6805,11.7795,61.77,585.88,81.61,749.1,422.66,326.44,2445372979.0,4.11,5.725,2018,4,2,Monday,18,1396.42,-52.0259
2018-05-01,673.61,674.4,637.54,670.46,2678960128,0.5508,0.005493,36.86,3.15,0.79,32.92,663.05,637.69,590.05,525.71,710.37,,640.69,592.72,47.97,38.9384,9.0316,62.16,598.03,75.09,748.21,447.85,300.36,2507368986.0,-6.1,5.6125,2018,5,2,Tuesday,18,1396.42,-51.7616
2018-05-02,687.15,688.84,667.42,674.08,2822269952,2.0101,0.019901,21.42,13.07,1.69,6.66,673.3,649.29,602.27,525.63,707.21,,647.84,599.72,48.12,40.7747,7.3453,63.61,607.74,73.32,754.38,461.1,293.28,2522514483.0,5.35,5.6123,2018,5,2,Wednesday,18,1396.42,-50.792
2018-05-03,779.54,784.34,686.59,686.59,4210939904,13.4454,0.126151,97.75,92.95,4.8,0.0,689.97,664.41,615.92,528.94,705.14,,668.1,613.04,55.06,43.6318,11.4282,71.62,622.08,77.57,777.22,466.94,310.28,2612098982.0,49.2,5.895,2018,5,2,Thursday,18,1396.42,-44.1758
2018-05-04,785.62,803.75,762.63,776.78,3533410048,0.7799,0.007769,41.12,8.84,18.13,14.15,709.77,676.54,629.87,532.42,702.41,,686.18,625.82,60.36,46.9774,13.3826,72.06,636.29,80.29,796.87,475.71,321.16,2712815488.0,-16.09,5.5278,2018,5,2,Friday,18,1396.42,-43.7404
